Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Hawaii,Weighted distribution of population (%),17.9,2.5,0.2,41.8,8.9,18.7,10,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Hawaii,Count of COVID-19 deaths,,,0,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Hawaii,Distribution of COVID-19 deaths (%),,,0,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Hawaii,Weighted distribution of population (%),18.8,2.4,0.2,40.8,9,18.8,10.1,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Hawaii,Count of COVID-19 deaths,0,0,0,0,0,0,0,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Hawaii,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Hawaii,Weighted distribution of population (%),0,0,0,0,0,0,0,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Hawaii,Count of COVID-19 deaths,0,0,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Hawaii,Distribution of COVID-19 deaths (%),0,0,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Hawaii,Weighted distribution of population (%),17.9,2.5,0.2,41.8,8.9,18.7,10,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Hawaii,Count of COVID-19 deaths,,0,0,,,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,,,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Hawaii,Weighted distribution of population (%),17.9,2.5,0.2,41.8,8.9,18.7,10,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Hawaii,Count of COVID-19 deaths,,0,0,34,19,11,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,45.9,25.7,14.9,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Hawaii,Weighted distribution of population (%),18.2,2.5,0.2,41.4,9,18.8,10,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Hawaii,Count of COVID-19 deaths,,,,75,26,13,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Hawaii,Distribution of COVID-19 deaths (%),,,,58.6,20.3,10.2,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Hawaii,Weighted distribution of population (%),18.7,2.4,0.2,40.5,9.1,19,10.2,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Hawaii,Count of COVID-19 deaths,,0,0,37,19,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,52.1,26.8,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Hawaii,Weighted distribution of population (%),18.7,2.4,0.2,40.4,9.1,19,10.2,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Hawaii,Count of COVID-19 deaths,,0,0,13,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,41.9,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Hawaii,Weighted distribution of population (%),18.3,2.5,0.2,41.1,9,18.8,10.1,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Hawaii,Count of COVID-19 deaths,,0,0,11,11,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,31.4,31.4,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Hawaii,Weighted distribution of population (%),18,2.5,0.2,41.6,9,18.8,10,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Hawaii,Count of COVID-19 deaths,,0,0,24,11,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,51.1,23.4,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Hawaii,Weighted distribution of population (%),18.1,2.5,0.2,41.5,9,18.8,10,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Hawaii,Count of COVID-19 deaths,,0,0,12,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,46.2,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Hawaii,Weighted distribution of population (%),18.9,2.4,0.2,40.5,9,18.8,10.1,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Hawaii,Count of COVID-19 deaths,,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Hawaii,Weighted distribution of population (%),19.7,2.3,0.2,39.7,9.1,18.9,10.2,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Hawaii,Count of COVID-19 deaths,,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Hawaii,Weighted distribution of population (%),19.9,2.2,0.2,39.5,9.1,18.9,10.2,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Hawaii,Count of COVID-19 deaths,,0,0,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Hawaii,Distribution of COVID-19 deaths (%),,0,0,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,19.7,10.7,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Hawaii,Weighted distribution of population (%),18.3,2.5,0.2,41.3,9,18.7,10,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Idaho,Count of COVID-19 deaths,1811,,38,23,,,213,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Idaho,Distribution of COVID-19 deaths (%),85.9,,1.8,1.1,,,10.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Idaho,Weighted distribution of population (%),82.8,1,0.7,2.1,0.2,2.4,10.9,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Idaho,Count of COVID-19 deaths,1312,,27,18,,,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Idaho,Distribution of COVID-19 deaths (%),85.3,,1.8,1.2,,,10.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Idaho,Weighted distribution of population (%),82.5,1,0.7,2.1,0.2,2.4,11.1,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Idaho,Count of COVID-19 deaths,499,,11,,,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Idaho,Distribution of COVID-19 deaths (%),87.5,,1.9,,,,8.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Idaho,Weighted distribution of population (%),83.4,1,0.7,2,0.2,2.3,10.3,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Idaho,Count of COVID-19 deaths,0,0,0,0,0,0,0,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Idaho,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Idaho,Weighted distribution of population (%),0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Idaho,Count of COVID-19 deaths,0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Idaho,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Idaho,Weighted distribution of population (%),0,0,0,0,0,0,0,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Idaho,Count of COVID-19 deaths,,0,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Idaho,Distribution of COVID-19 deaths (%),,0,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Idaho,Weighted distribution of population (%),81.7,1.1,0.5,2.3,0.2,2.4,11.7,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Idaho,Count of COVID-19 deaths,50,,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Idaho,Distribution of COVID-19 deaths (%),90.9,,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Idaho,Weighted distribution of population (%),82.1,1.1,0.8,2.2,0.2,2.3,11.2,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Idaho,Count of COVID-19 deaths,21,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Idaho,Distribution of COVID-19 deaths (%),95.5,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Idaho,Weighted distribution of population (%),82.5,1.1,0.6,2.3,0.2,2.2,10.9,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Idaho,Count of COVID-19 deaths,,0,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Idaho,Distribution of COVID-19 deaths (%),,0,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Idaho,Weighted distribution of population (%),83,1,0.6,2,0.2,2.2,11,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Idaho,Count of COVID-19 deaths,108,,,,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Idaho,Distribution of COVID-19 deaths (%),83.7,,,,0,0,12.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Idaho,Weighted distribution of population (%),82.5,1.1,0.6,2.3,0.2,2.4,10.9,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Idaho,Count of COVID-19 deaths,148,,,,0,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Idaho,Distribution of COVID-19 deaths (%),82.7,,,,0,0,15.6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Idaho,Weighted distribution of population (%),82.5,1.1,0.6,2.2,0.2,2.4,11,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Idaho,Count of COVID-19 deaths,93,0,,0,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Idaho,Distribution of COVID-19 deaths (%),82.3,0,,0,0,0,14.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Idaho,Weighted distribution of population (%),82.8,1.1,0.7,2.2,0.2,2.4,10.7,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Idaho,Count of COVID-19 deaths,149,,,,0,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Idaho,Distribution of COVID-19 deaths (%),80.5,,,,0,,14.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Idaho,Weighted distribution of population (%),82.5,1,0.8,2,0.2,2.3,11.3,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Idaho,Count of COVID-19 deaths,343,,,,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Idaho,Distribution of COVID-19 deaths (%),88.6,,,,,,7.5,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Idaho,Weighted distribution of population (%),82,1,0.7,2,0.2,2.3,11.9,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Idaho,Count of COVID-19 deaths,386,,10,,,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Idaho,Distribution of COVID-19 deaths (%),86.2,,2.2,,,,9.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Idaho,Weighted distribution of population (%),82.9,1.1,0.7,2.1,0.2,2.4,10.6,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Idaho,Count of COVID-19 deaths,222,,,,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Idaho,Distribution of COVID-19 deaths (%),85.1,,,,,,9.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Idaho,Weighted distribution of population (%),83.7,1,0.7,2.1,0.2,2.4,10,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Idaho,Count of COVID-19 deaths,99,0,0,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Idaho,Distribution of COVID-19 deaths (%),90,0,0,,0,0,9.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Idaho,Weighted distribution of population (%),82.9,1,0.7,1.9,0.2,2.3,10.9,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Idaho,Count of COVID-19 deaths,63,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Idaho,Distribution of COVID-19 deaths (%),84,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Idaho,Weighted distribution of population (%),82.9,1,0.7,2,0.2,2.3,10.9,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Idaho,Count of COVID-19 deaths,78,0,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Idaho,Distribution of COVID-19 deaths (%),94,0,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Idaho,Weighted distribution of population (%),83.7,0.9,0.8,1.9,0.2,2.3,10.2,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Idaho,Count of COVID-19 deaths,37,0,,0,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Idaho,Distribution of COVID-19 deaths (%),90.2,0,,0,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,2.1,12.8,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Idaho,Weighted distribution of population (%),83.3,1.1,0.7,2.2,0.2,2.4,10.2,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Illinois,Count of COVID-19 deaths,13579,3857,17,814,,49,3575,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Illinois,Distribution of COVID-19 deaths (%),61.8,17.6,0.1,3.7,,0.2,16.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,1.7,17.5,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Illinois,Weighted distribution of population (%),43.6,22,0.1,7.7,0,1.6,25,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Illinois,Count of COVID-19 deaths,10174,3002,16,617,,36,2793,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Illinois,Distribution of COVID-19 deaths (%),60.9,18,0.1,3.7,,0.2,16.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,1.7,17.5,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Illinois,Weighted distribution of population (%),43.5,22.1,0.1,7.7,0,1.6,25,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Illinois,Count of COVID-19 deaths,3405,855,,197,,13,782,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Illinois,Distribution of COVID-19 deaths (%),64.7,16.3,,3.7,,0.2,14.9,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,1.7,17.5,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Illinois,Weighted distribution of population (%),43.7,22,0.1,7.7,0,1.6,24.9,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Illinois,Count of COVID-19 deaths,0,0,0,0,0,0,0,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Illinois,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,1.7,17.5,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Illinois,Weighted distribution of population (%),0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Illinois,Count of COVID-19 deaths,0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Illinois,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,1.7,17.5,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Illinois,Weighted distribution of population (%),0,0,0,0,0,0,0,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Illinois,Count of COVID-19 deaths,68,89,,,0,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Illinois,Distribution of COVID-19 deaths (%),35.2,46.1,,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
